Especie,Familia,tipo,color,lon_fr,anc_fr,pe_fr,semi_fr,lon_se,anc_se,pe_se,un_dis,sin_di
Acacia macracantha,Fabaceae,pods,brown,75.83,11.66,1.5589,12,5.51,4.16,0.0393,fruit,Autochory
Achatocarpus pubescens,Achatocarpaceae,berry,green,3.95,3.67,0.0309,1,3.11,3.12,0.0126,fruit,Zoochory
Acnistus arborescens,Solanaceae,berry,orange,9.08,10.20,0.6720,18,3.63,2.76,0.0061,fruit,Zoochory
Agonandra excelsa,Opiliaceae,drupe,orange,20.00,15.00,3.9000,1,15.00,10.00,1.4000,fruit,Zoochory
Albizia multiflora,Fabaceae,pods,brown,128.84,15.07,8.4208,14,9.86,5.96,0.1495,fruit,Autochory
Annona muricata,Annonaceae,berry,green,195.00,120.00,1529.7000,137,20.00,0.70,99.3000,fruit,Zoochory
Bauhinia aculeata,Fabaceae,pods,brown,157.85,20.24,9.185,10,7.36,5.26,93.9000,seed,Autochory
Bougainvillea peruviana,Nyctaginaceae,achene,brown,25.00,2.50,,1,4.50,,,fruit,Anemochory
Bunchosia pseudonitida,Malpighiaceae,drupe,orange,10.36,9.84,0.6242,2,8.08,5.57,0.1146,fruit,Zoochory
Bursera graveolens,Burseraceae,drupe,green,8.50,12.50,0.2500,1,4.76,2.61,0.0857,fruit,Zoochory
Caesalpinia glabrata,Fabaceae,pods,brown,75.01,15.57,3.7929,8,8.14,5.40,0.0673,fruit,Autochory
Caesalpinia spinosa,Fabaceae,pods,red,75.00,20.00,1.7500,10,9.95,7.53,0.2361,fruit,Autochory
Calliandra taxifolia,Fabaceae,pods,brown,107.29,10.72,0.9665,3,9.44,5.47,0.0077,fruit,Autochory
Carica parviflora,Caricaceae,berry,orange,30.01,13.99,1.4983,11,5.75,3.61,0.0330,fruit,Zoochory
Casearia hirsuta,Salicaceae,drupe,green,15.45,12.42,1.496,7,4.03,2.76,0.0221,fruit,Zoochory
Cavanillesia platanifolia,Malvaceae,samara,brown,100.00,9.75,0.0030,1,39.62,9.56,0.8984,fruit,Anemochory
Ceiba insignis,Malvaceae,capsule,green,110.00,60.00,74.1000,114,8.00,6.00,0.1308,seed,Anemochory
Ceiba trichistandra,Malvaceae,capsule,brown,130.00,65.00,137.5640,55,9.32,7.35,0.1925,seed,Anemochory
Celtis iguanaea,Cannabaceae,drupe,yellow,14.50,10.00,0.9000,1,8.54,7.33,0.2862,fruit,Zoochory
Celtis loxensis,Cannabaceae,drupe,yellow,11.00,10.00,0.9000,1,8.54,7.33,0.2862,fruit,Zoochory
Centrolobium ochroxylum,Fabaceae,samara,brown,220.00,41.80,30.6100,3,25.00,,,fruit,Anemochory
Cereus diffusus,Cactaceae ,berry,red,8.00,13.00,110.0000,50,3.00,2.00,,fruit,Zoochory
Chloroleucon mangense,Fabaceae,pods,black,115.00,10.00,4.8000,15,5.94,3.89,0.0525,fruit,Autochory
Cissus erosa,Vitaceae,drupe,green,11.63,8.97,0.5315,1,9.22,6.05,0.1293,fruit,Zoochory
Citharexylum poeppigii,Verbeceae,berry,red,10.56,10.87,0.8209,2,7.20,4.91,0.0688,fruit,Zoochory
Coccoloba ruiziana,Polygonaceae,drupe,blue,5.27,5.50,0.1106,1,4.27,4.66,0.0550,fruit,Zoochory
Cochlospermum vitifolium,Cochlopermaceae,capsule,brown,85.00,50.00,0.0250,130,15.03,2.13,0.0247,seed,Anemochory
Colicodendron scabridum,Capparaceae,berry,yellow,75.00,60.00,8.0000,37,15.00,1.25,,fruit,Zoochory
Cordia alliodora,Boraginaceae,samara,brown,12.50,11.25,0.0110,1,9.42,2.30,0.0166,fruit,Anemochory
Cordia lutea,Boraginaceae,drupe,white,1.25,0.35,5.0400,1,13.10,6.24,0.2031,fruit,Zoochory
Cordia macrantha,Boraginaceae,drupe,brown,10.00,4.45,,1,,,,fruit,Anemochory
Cordia macrocephala,Boraginaceae,drupe,red,5.34,3.94,0.0405,1,4.53,3.32,0.0274,fruit,Zoochory
Croton sp.,Euphorbiaceae,capsule,brown,6.91,4.74,0.0460,3,7.922,2.105,0.015,seed,Autochory
Cynophalla flexuosa,Capparaceae ,capsule,green,66.00,9.00,0.8700,9,7.00,4.00,0.1200,seed,Zoochory
Eriotheca roseorum,Malvaceae,capsule,brown,75.00,40.00,,16,8.73,3.00,0.2700,seed,Anemochory
Eriotheca ruizii,Malvaceae,capsule,brown,15.66,15.18,0.4840,13,4.20,2.81,0.0081,seed,Anemochory
Erythrina velutina,Fabaceae,pods,brown,90.00,13.42,1.0200,7,10.93,6.57,0.2763,fruit,Zoochory
Erythroxylum glaucum,Erythroxylaceae,drupe,red,9.74,4.91,0.1704,1,9.41,3.80,0.0893,fruit,Zoochory
Ficus jacobii,Moraceae,syconium,green,8.50,20.00,19.0000,50,1.00,1.00,0.0020,fruit,Zoochory
Ficus obtusifolia,Moraceae,syconium,green,8.10,8.14,0.3118,38,0.96,0.77,0.0033,fruit,Zoochory
Fulcaldea laurifolia,Asteraceae,achene,red,5.00,2.00,,1,4.80,4.39,0.0400,fruit,Anemochory
Gallesia integrifolia,Petiveriaceae,samara,brown,28.64,10.00,0.0681,1,5.25,4.38,0.0444,fruit,Anemochory
Geoffroea spinosa,Fabaceae,drupe,green,39.97,28.33,13.3504,1,30.71,22.22,5.5645,fruit,Zoochory
Guazuma ulmifolia,Malvaceae,capsule,black,25.00,12.50,2.3700,54,2.75,1.93,0.0045,fruit,Zoochory
Handroanthus billbergii,Bignoniaceae,capsule,brown,226.47,5.89,2.0350,112,17.35,4.07,0.654,seed,Anemochory
Handroanthus chrysanthus,Bignoniaceae,capsule,brown,10.85,23.30,17.1300,278,22.39,9.69,0.0227,seed,Anemochory
Ipomoea pauciflora,Convolvulaceae,capsule,green,20.00,10.00,10.5400,4,12.45,5.61,0.1591,seed,Anemochory
Jatropha curcas,Euphorbiaceae,capsule,brown,28.44,24.14,2.1900,3,17.50,11.50,0.6740,seed,Zoochory
Lantana trifolia,Verbeceae,drupe,blue,4.79,3.91,0.0497,1,4.55,3.29,0.0192,fruit,Zoochory
Leucaena trichodes,Fabaceae,pods,brown,158.85,26.22,0.9630,6,9.40,4.91,0.0630,seed,Autochory
Loxopterygium huasango,Anacardiaceae,samara,brown,14.40,5.09,0.0090,1,4.66,2.44,0.0045,fruit,Anemochory
Machaerium millei,Fabaceae,samara,green,57.95,12.75,0.4478,1,11.00,3.00,,fruit,Anemochory
Maclura tinctoria,Moraceae,berry,yellow,16.00,0.50,2.5000,50,3.23,1.99,0.0034,fruit,Zoochory
Mimosa acantholoba,Fabaceae,pods,brown,65.00,175.00,,6,4.76,3.86,0.0156,fruit,Autochory
Mimosa pigra,Fabaceae,pods,brown,75.00,12.00,,22,5.00,2.40,0.0009,seed,Autochory
Muntingia calabura,Muntingiaceae,berry,red,8.00,6.50,1.4493,5139,0.50,0.33,0.0255,fruit,Zoochory
Myroxylon balsamun,Fabaceae,samara,yellow,90.00,20.00,0.7490,1,16.50,,,fruit,Anemochory
Piptadenia flava,Fabaceae,pods,brown,115.00,19.00,0.3580,6,5.01,3.02,0.119,seed,Autochory
Piscidia carthagenensis,Fabaceae,pods,brown,86.22,36.86,0.6098,5,8.46,4.74,0.0340,fruit,Anemochory
Pisonia aculeata,Nyctaginaceae,achene,brown,15.00,6.00,,1,12.12,3.03,0.0557,fruit,Zoochory
Pisonia floribunda,Nyctaginaceae,achene,brown,10.00,,,1,,,,fruit,Anemochory
Pithecellobium excelsum,Fabaceae,pods,red,55.43,9.20,0.9085,6,7.41,6.65,0.0524,seed,Zoochory
Prockia crucis,Salicaceae,berry,red,4.36,4.94,0.5313,12,1.37,0.76,0.0041,fruit,Zoochory
Prosopis juliflora,Fabaceae,pods,yellow,135.00,16.00,10.5400,15,6.40,3.98,0.0421,fruit,Zoochory
Psidium guajaba,Myrtaceae,berry,yellow,62.40,60.50,134.0000,350,3.31,2.60,0.0084,fruit,Zoochory
Randia armata,Rubiaceae,berry,brown,17.47,14.61,0.8325,10,7.56,4.72,0.0491,fruit,Zoochory
Rauvolfia tetraphylla,Apocynaceae,berry,black,6.60,8.02,0.3709,2,5.12,3.18,0.0308,fruit,Zoochory
Sapindus saponaria,Sapindaceae,drupe,yellow,12.50,12.50,3.1400,1,13.03,13.93,1.3959,fruit,Zoochory
Senna bicapsularis,Fabaceae,pods,brown,115.00,12.00,9.6900,55,3.48,2.75,0.0055,fruit,Autochory
Senna incarnata,Fabaceae,pods,brown,82.09,18.50,0.4307,16,4.32,2.52,0.0142,fruit,Autochory
Senna mollissima,Fabaceae,pods,brown,250.00,8.00,9.6900,41,7.34,4.28,0.0679,fruit,Autochory
Senna spectabilis,Fabaceae,pods,black,127.50,17.50,9.6900,60,6.05,4.09,0.0351,fruit,Autochory
Simira ecuadorensis,Rubiaceae,capsule,brown,37.35,45.82,40.1380,48,23.44,9.86,0.0598,seed,Anemochory
Sorocea bonplandii,Moraceae,drupe,black,13.00,10.93,1.1570,1,10.68,7.65,0.3589,fruit,Zoochory
Spondia purpuria,Sapindaceae,drupe,yellow,41.00,32.00,21.9,5,33.00,20.00,3.2000,fruit,Zoochory
Tecoma stans,Bignoniaceae,capsule,brown,140.00,6.00,,,16.09,5.63,0.0152,seed,Anemochory
Terminalia valverdeae,Combretaceae,samara,brown,74.24,24.77,0.9925,1,17.39,9.28,0.4755,fruit,Anemochory
Trichilia hirta,Meliaceae,capsule,brown,11.00,11.00,0.7000,4,7.33,5.20,0.0886,fruit,Zoochory
Triplaris cumingiana,Polygonaceae,achene,brown,40.00,10.00,0.0767,1,12.40,2.57,0.1430,fruit,Anemochory
Zizyphus thyrsiflora,Rhamnaceae,drupe,yellow,15.00,0.50,4.8000,1,13.72,11.15,1.0924,fruit,Zoochory
