"","Especie","C1.P1","C1.P2","C1.P3","C10.P1","C10.P2","C10.P3","C11.P1","C11.P2","C11.P3","C12.P1","C12.P2","C12.P3","C13.P1","C13.P2","C13.P3","C14.P1","C14.P2","C14.P3","C15.P1","C15.P2","C15.P3","C16.P1","C16.P2","C16.P3","C17.P1","C17.P2","C17.P3","C18.P1","C18.P2","C18.P3","C19.P1","C19.P2","C19.P3","C2.P1","C2.P2","C2.P3","C20.P1","C20.P2","C20.P3","C21.P1","C21.P2","C21.P3","C22.P1","C22.P2","C22.P3","C23.P1","C23.P2","C23.P3","C24.P1","C24.P2","C24.P3","C3.P1","C3.P2","C3.P3","C4.P1","C4.P2","C4.P3","C5.P1","C5.P2","C5.P3","C6.P1","C6.P2","C6.P3","C7.P1","C7.P2","C7.P3","C8.P1","C8.P2","C8.P3","C9.P1","C9.P2","C9.P3","Familia","tipo","color","lon_fr","anc_fr","pe_fr","semi_fr","lon_se","anc_se","pe_se","un_dis","sin_di"
"35","Ficus obtusifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Moraceae","syconium","green",8.1,8.14,0.3118,38,0.96,0.77,0.0033,"fruit","Zoochory"
"36","Fulcaldea laurifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asteraceae","achene","red",5,2,NA,1,4.8,4.39,0.04,"fruit","Anemochory"
"37","Gallesia integrifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Petiveriaceae","samara","brown",28.64,10,0.0681,1,5.25,4.38,0.0444,"fruit","Anemochory"
"38","Geoffroea spinosa",2,0,3,0,0,2,2,2,1,17,6,8,15,16,6,0,0,3,3,0,0,2,6,2,0,0,1,0,0,1,0,0,3,0,1,0,0,0,0,0,1,0,1,1,0,13,4,1,20,20,10,11,20,0,0,0,0,1,11,1,2,0,10,2,2,10,3,0,8,10,6,6,"Fabaceae","drupe","green",39.97,28.33,13.3504,1,30.71,22.22,5.5645,"fruit","Zoochory"
"39","Guazuma ulmifolia",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Malvaceae","capsule","black",25,12.5,2.37,54,2.75,1.93,0.0045,"fruit","Zoochory"
"40","Handroanthus billbergii",1,3,4,0,0,0,6,2,5,1,0,1,0,17,2,4,5,3,7,2,10,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,1,1,2,0,0,0,2,3,24,0,0,0,0,0,3,3,0,0,14,17,17,"Bignoniaceae","capsule","brown",226.47,5.89,2.035,112,17.35,4.07,0.654,"seed","Anemochory"
"41","Handroanthus chrysanthus",12,8,9,0,0,0,11,13,25,62,37,28,78,2,8,5,10,12,16,40,9,87,12,5,0,0,0,0,0,0,0,1,0,29,4,16,0,0,0,55,22,19,42,34,13,2,37,32,1,1,23,12,5,12,7,11,3,39,35,13,3,0,1,4,4,39,71,13,28,39,81,75,"Bignoniaceae","capsule","brown",10.85,23.3,17.13,278,22.39,9.69,0.0227,"seed","Anemochory"
"42","Ipomoea pauciflora",0,0,0,0,0,0,0,0,6,0,7,8,0,0,0,0,0,0,0,1,0,0,0,0,22,8,6,4,7,13,5,14,20,0,0,0,15,6,7,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Convolvulaceae","capsule","green",20,10,10.54,4,12.45,5.61,0.1591,"seed","Anemochory"
"43","Jatropha curcas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Euphorbiaceae","capsule","brown",28.44,24.14,2.19,3,17.5,11.5,0.674,"seed","Zoochory"
"44","Leucaena trichodes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,1,0,2,2,3,12,0,0,0,3,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fabaceae","pods","brown",158.85,26.22,0.963,6,9.4,4.91,0.063,"seed","Autochory"
"45","Loxopterygium huasango",0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,5,0,0,0,"Anacardiaceae","samara","brown",14.4,5.09,0.009,1,4.66,2.44,0.0045,"fruit","Anemochory"
"46","Machaerium millei",4,5,4,0,0,0,1,0,0,0,0,0,0,0,0,21,24,5,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,4,9,0,0,0,0,11,31,9,5,2,0,0,0,0,0,0,0,6,1,13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fabaceae","samara","green",57.95,12.75,0.4478,1,11,3,NA,"fruit","Anemochory"
"47","Maclura tinctoria",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,9,7,0,0,5,5,1,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Moraceae","berry","yellow",16,0.5,2.5,50,3.23,1.99,0.0034,"fruit","Zoochory"
"48","Mimosa acantholoba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fabaceae","pods","brown",65,175,NA,6,4.76,3.86,0.0156,"fruit","Autochory"
"49","Mimosa pigra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fabaceae","pods","brown",75,12,NA,22,5,2.4,9e-04,"seed","Autochory"
"50","Muntingia calabura",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Muntingiaceae","berry","red",8,6.5,1.4493,5139,0.5,0.33,0.0255,"fruit","Zoochory"
"51","Myroxylon balsamun",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Fabaceae","samara","yellow",90,20,0.749,1,16.5,NA,NA,"fruit","Anemochory"
"52","Piptadenia flava",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,5,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fabaceae","pods","brown",115,19,0.358,6,5.01,3.02,0.119,"seed","Autochory"
"53","Piscidia carthagenensis",5,13,9,35,26,16,6,15,11,41,34,20,8,17,16,4,0,3,12,10,7,22,13,25,0,0,0,0,0,0,9,37,0,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,10,11,8,5,19,15,19,5,10,43,49,36,9,16,20,82,61,114,"Fabaceae","pods","brown",86.22,36.86,0.6098,5,8.46,4.74,0.034,"fruit","Anemochory"
"54","Pisonia aculeata",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,"Nyctaginaceae","achene","brown",15,6,NA,1,12.12,3.03,0.0557,"fruit","Zoochory"
"55","Pisonia floribunda",18,5,8,4,1,1,1,2,0,2,0,2,0,0,0,4,16,3,3,6,2,4,4,4,2,0,0,1,0,0,0,0,2,4,12,3,0,1,0,0,0,0,3,0,1,3,0,0,1,2,0,8,4,3,11,17,8,0,0,0,0,0,0,1,1,6,7,13,11,0,0,3,"Nyctaginaceae","achene","brown",10,NA,NA,1,NA,NA,NA,"fruit","Anemochory"
"56","Pithecellobium excelsum",0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,"Fabaceae","pods","red",55.43,9.2,0.9085,6,7.41,6.65,0.0524,"seed","Zoochory"
"57","Prockia crucis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Salicaceae","berry","red",4.36,4.94,0.5313,12,1.37,0.76,0.0041,"fruit","Zoochory"
"58","Prosopis juliflora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fabaceae","pods","yellow",135,16,10.54,15,6.4,3.98,0.0421,"fruit","Zoochory"
"59","Psidium guajaba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,26,12,16,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Myrtaceae","berry","yellow",62.4,60.5,134,350,3.31,2.6,0.0084,"fruit","Zoochory"
"60","Randia armata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Rubiaceae","berry","brown",17.47,14.61,0.8325,10,7.56,4.72,0.0491,"fruit","Zoochory"
"61","Sapindus saponaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sapindaceae","drupe","yellow",12.5,12.5,3.14,1,13.03,13.93,1.3959,"fruit","Zoochory"
"62","Senna bicapsularis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fabaceae","pods","brown",115,12,9.69,55,3.48,2.75,0.0055,"fruit","Autochory"
"63","Senna incarnata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fabaceae","pods","brown",82.09,18.5,0.4307,16,4.32,2.52,0.0142,"fruit","Autochory"
"64","Senna mollissima",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fabaceae","pods","brown",250,8,9.69,41,7.34,4.28,0.0679,"fruit","Autochory"
"65","Senna spectabilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,"Fabaceae","pods","black",127.5,17.5,9.69,60,6.05,4.09,0.0351,"fruit","Autochory"
"66","Simira ecuadorensis",2,9,10,0,0,0,19,22,8,2,4,0,1,0,3,0,0,0,15,28,9,6,12,5,0,0,0,0,0,0,0,0,0,14,17,0,0,0,0,12,0,14,0,15,17,0,15,1,5,1,3,2,11,2,8,15,0,0,2,5,0,0,0,0,0,17,3,2,5,0,0,0,"Rubiaceae","capsule","brown",37.35,45.82,40.138,48,23.44,9.86,0.0598,"seed","Anemochory"
"67","Tecoma stans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bignoniaceae","capsule","brown",140,6,NA,NA,16.09,5.63,0.0152,"seed","Anemochory"
"68","Terminalia valverdeae",20,2,9,0,0,0,13,13,10,7,24,9,25,0,8,2,5,1,10,0,11,0,0,0,0,0,42,0,1,0,7,0,30,8,10,1,0,0,0,1,1,43,22,51,40,2,1,2,0,0,35,5,13,1,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Combretaceae","samara","brown",74.24,24.77,0.9925,1,17.39,9.28,0.4755,"fruit","Anemochory"
"69","Trichilia hirta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Meliaceae","capsule","brown",11,11,0.7,4,7.33,5.2,0.0886,"fruit","Zoochory"
"70","Triplaris cumingiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Polygonaceae","achene","brown",40,10,0.0767,1,12.4,2.57,0.143,"fruit","Anemochory"
"71","Zizyphus thyrsiflora",0,5,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,10,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,"Rhamnaceae","drupe","yellow",15,0.5,4.8,1,13.72,11.15,1.0924,"fruit","Zoochory"
